"State","Month","Statistic Label","UNIT","VALUE"
"State","1974M12","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","66.4"
"State","1974M12","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1975M01","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","63.4"
"State","1975M01","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1975M02","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","81.2"
"State","1975M02","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1975M03","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","88.9"
"State","1975M03","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1975M04","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","101.6"
"State","1975M04","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1975M05","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","113.1"
"State","1975M05","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1975M06","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","115.2"
"State","1975M06","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1975M07","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","100.7"
"State","1975M07","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1975M08","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","100.9"
"State","1975M08","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1975M09","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","104.9"
"State","1975M09","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1975M10","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","106.4"
"State","1975M10","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1975M11","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","110.4"
"State","1975M11","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1975M12","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","113.4"
"State","1975M12","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1976M01","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","111.3"
"State","1976M01","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1976M02","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","115.3"
"State","1976M02","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1976M03","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","115.5"
"State","1976M03","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1976M04","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","114"
"State","1976M04","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1976M05","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","114.5"
"State","1976M05","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1976M06","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","109.9"
"State","1976M06","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1976M07","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","106.5"
"State","1976M07","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1976M08","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","106.7"
"State","1976M08","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1976M09","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","102.3"
"State","1976M09","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1976M10","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","98"
"State","1976M10","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1976M11","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","89.1"
"State","1976M11","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1976M12","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","89"
"State","1976M12","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1977M01","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","97.8"
"State","1977M01","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1977M02","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","111.6"
"State","1977M02","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1977M03","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","116.7"
"State","1977M03","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1977M04","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","119.9"
"State","1977M04","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1977M05","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","118.2"
"State","1977M05","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1977M06","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","129.6"
"State","1977M06","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1977M07","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","133.9"
"State","1977M07","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1977M08","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","131.6"
"State","1977M08","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1977M09","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","146.7"
"State","1977M09","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1977M10","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","165.3"
"State","1977M10","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1977M11","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","167.8"
"State","1977M11","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1977M12","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","158.4"
"State","1977M12","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1978M01","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","181.8"
"State","1978M01","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1978M02","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","183.1"
"State","1978M02","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1978M03","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","174.7"
"State","1978M03","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1978M04","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","186.8"
"State","1978M04","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1978M05","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","190.9"
"State","1978M05","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1978M06","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","197.1"
"State","1978M06","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1978M07","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","197.7"
"State","1978M07","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1978M08","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","212"
"State","1978M08","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1978M09","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","223.3"
"State","1978M09","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1978M10","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","225.6"
"State","1978M10","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1978M11","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","225.8"
"State","1978M11","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1978M12","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","219.8"
"State","1978M12","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1979M01","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","219.8"
"State","1979M01","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","77.5"
"State","1979M02","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","221.5"
"State","1979M02","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","77.67"
"State","1979M03","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","236.1"
"State","1979M03","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","78.44"
"State","1979M04","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","238"
"State","1979M04","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","77.74"
"State","1979M05","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","235.6"
"State","1979M05","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","76.82"
"State","1979M06","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","219.6"
"State","1979M06","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","76.26"
"State","1979M07","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","213"
"State","1979M07","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","75.37"
"State","1979M08","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","200.9"
"State","1979M08","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","75.41"
"State","1979M09","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","206.3"
"State","1979M09","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","76.88"
"State","1979M10","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","205.8"
"State","1979M10","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","77.65"
"State","1979M11","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","196.2"
"State","1979M11","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","77.87"
"State","1979M12","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","195.2"
"State","1979M12","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","77.66"
"State","1980M01","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","197.1"
"State","1980M01","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","76.84"
"State","1980M02","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","207.5"
"State","1980M02","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","75.88"
"State","1980M03","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","214.8"
"State","1980M03","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","74.72"
"State","1980M04","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","209"
"State","1980M04","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","74.44"
"State","1980M05","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","210.8"
"State","1980M05","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","74.67"
"State","1980M06","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","198.8"
"State","1980M06","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","75.03"
"State","1980M07","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","198.7"
"State","1980M07","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","75.39"
"State","1980M08","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","217.4"
"State","1980M08","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","74.59"
"State","1980M09","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","218.1"
"State","1980M09","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","73.94"
"State","1980M10","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","225.3"
"State","1980M10","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","72.22"
"State","1980M11","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","225.1"
"State","1980M11","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","70.27"
"State","1980M12","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","222.4"
"State","1980M12","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","69.62"
"State","1981M01","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","213.3"
"State","1981M01","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","67.94"
"State","1981M02","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","219.3"
"State","1981M02","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","66.45"
"State","1981M03","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","224.4"
"State","1981M03","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","67.29"
"State","1981M04","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","231.1"
"State","1981M04","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","67.09"
"State","1981M05","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","239.9"
"State","1981M05","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","66.15"
"State","1981M06","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","235"
"State","1981M06","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","66.49"
"State","1981M07","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","227.1"
"State","1981M07","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","66.93"
"State","1981M08","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","220.4"
"State","1981M08","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","66.93"
"State","1981M09","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","222.2"
"State","1981M09","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","69.64"
"State","1981M10","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","200.5"
"State","1981M10","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","69.97"
"State","1981M11","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","200.7"
"State","1981M11","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","69.22"
"State","1981M12","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","205.8"
"State","1981M12","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","68.75"
"State","1982M01","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","201.7"
"State","1982M01","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","68.02"
"State","1982M02","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","192.7"
"State","1982M02","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","67.29"
"State","1982M03","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","182.6"
"State","1982M03","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","67.8"
"State","1982M04","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","173"
"State","1982M04","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","67.49"
"State","1982M05","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","173.4"
"State","1982M05","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","68.36"
"State","1982M06","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","176.8"
"State","1982M06","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","67.32"
"State","1982M07","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","167.7"
"State","1982M07","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","67.08"
"State","1982M08","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","173.7"
"State","1982M08","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","66.98"
"State","1982M09","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","184.2"
"State","1982M09","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","66.58"
"State","1982M10","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","176.9"
"State","1982M10","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","66.29"
"State","1982M11","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","184.6"
"State","1982M11","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","66.87"
"State","1982M12","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","173.8"
"State","1982M12","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","68.15"
"State","1983M01","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","174.9"
"State","1983M01","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","69.39"
"State","1983M02","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","168.5"
"State","1983M02","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","69.54"
"State","1983M03","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","171.5"
"State","1983M03","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","69.44"
"State","1983M04","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","190.8"
"State","1983M04","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","66.23"
"State","1983M05","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","207.5"
"State","1983M05","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","65.1"
"State","1983M06","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","222"
"State","1983M06","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","64.21"
"State","1983M07","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","237.6"
"State","1983M07","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","63.96"
"State","1983M08","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","250.6"
"State","1983M08","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","63.09"
"State","1983M09","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","261"
"State","1983M09","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","62.83"
"State","1983M10","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","268.3"
"State","1983M10","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","63.33"
"State","1983M11","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","257.8"
"State","1983M11","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","62.55"
"State","1983M12","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","275.6"
"State","1983M12","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","62.33"
"State","1984M01","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","291.9"
"State","1984M01","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","61.79"
"State","1984M02","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","326.4"
"State","1984M02","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","62.55"
"State","1984M03","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","310.4"
"State","1984M03","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100","63.41"
